0005 枯れた竹 かれたたけ
0093 黄色ハイビスカスの低木(成長2) きいろいはいびすかすのていぼく2
0094 黄色いハイビスカスの低木 きいろいはいびすかすのていぼく3
0095 キンモクセイの低木(成長1) きんもくせいのていぼく1
0096 キンモクセイの低木(成長2) きんもくせいのていぼく2
0097 キンモクセイの低木 きんもくせいのていぼく3
0098 岩1(flag) いわ1
0099 岩2(flag) いわ2
009A 岩3(flag) いわ3
009B 岩4(flag) いわ4
009C 岩5(flag) いわ5
009D マイデザイン まいでざいん
009E 穴 あな
009F 赤いチューリップ あかいちゅーりっぷ
00A0 白いチューリップ しろいちゅーりっぷ
00A1 黄色いチューリップ きいろいちゅーりっぷ
00A2 ピンクのチューリップ ぴんくのちゅーりっぷ
00A3 紫チューリップ むらさきちゅーりっぷ
00A4 黒いチューリップ くろいちゅーりっぷ
00A5 オレンジチューリップ おれんじちゅーりっぷ
00A6 白いパンジー しろいぱんじー
00A7 黄色いパンジー きいろいぱんじー
00A8 赤いパンジー あかいぱんじー
00A9 紫のパンジー むらさきのぱんじー
00AA 赤黄色パンジー あかきいろぱんじー
00AB 青いパンジー あおいぱんじー
00AC 白いコスモス しろいこすもす
00AD 赤いコスモス あかいこすもす
00AE 黄色いコスモス きいろいこすもす
00AF ピンクのコスモス ぴんくのこすもす
00B0 オレンジのコスモス おれんじのこすもす
00B1 黒いコスモス くろいこすもす
00B2 赤いバラ あかいばら
00B3 白いバラ しろいばら
00B4 黄色いバラ きいろいばら
00B5 ピンクのバラ ぴんくのばら
00B6 オレンジのバラ おれんじのばら
00B7 紫のバラ むらさきのばら
00B8 黒いバラ くろいばら
00B9 青いバラ あおいばら
00BA 金のバラ きんのばら
00BB 赤いカーネーション あかいかーねーしょん
00BC ピンクカーネーション ぴんくかーねーしょん
00BD 白いカーネーション しろいかーねーしょん
00BE 白いユリ しろいゆり
00BF 黄色いユリ きいろいゆり
00C0 赤いユリ あかいゆり
00C1 オレンジのユリ おれんじのゆり
00C2 ピンクのユリ ぴんくのゆり
00C3 黒いユリ くろいゆり
00C4 紫のスミレ むらさきのすみれ
00C5 青いスミレ あおいすみれ
00C6 白いスミレ しろいすみれ
00C7 黄色いスミレ きいろいすみれ
00C8 スズラン すずらん
00C9 四葉のクローバー よつばのくろーばー
00CA タンポポ たんぽぽ
00CB タンポポのわたげ たんぽぽのわたげ
00CC クローバー(雑草) くろーばー(ざっそう)
00CD ラフレシア らふれしあ
00CE 赤いチューリップ(枯れた) あかいちゅーりっぷ(かれた)
00CF 白いチューリップ(枯れた) しろいちゅーりっぷ(かれた)
00D0 黄色いチューリップ(枯れた) きいろいちゅーりっぷ(枯れた)
00D1 ピンクのチューリップ(枯れた) ぴんくのちゅーりっぷ(かれた)
00D2 紫チューリップ(枯れた) むらさきちゅーりっぷ(かれた)
00D3 黒いチューリップ(枯れた) くろいちゅーりっぷ(かれた)
00D4 オレンジチューリップ(枯れた) おれんじちゅーりっぷ(かれた)
00D5 白いパンジー(枯れた) しろいぱんじー(かれた)
00D6 黄色いパンジー(枯れた) きいろいぱんじー(かれた)
00D7 赤いパンジー(枯れた) あかいぱんじー(かれた)
00D8 紫のパンジー(枯れた) むらさきのぱんじー(かれた)
00D9 赤黄色パンジー(枯れた) あかきいろぱんじー(かれた)
00DA 青いパンジー(枯れた) あおいぱんじー(かれた)
00DB 白いコスモス(枯れた) しろいこすもす(かれた)
00DC 赤いコスモス(枯れた) あかいこすもす(かれた)
00DD 黄色いコスモス(枯れた) きいろいこすもす(かれた)
00DE ピンクのコスモス(枯れた) ぴんくのこすもす(かれた)
00DF オレンジのコスモス(枯れた) おれんじのこすもす(かれた)
00E0 黒いコスモス(枯れた) くろいこすもす(かれた)
00E1 赤いバラ(枯れた) あかいばら(かれた)
00E2 白いバラ(枯れた) しろいばら(かれた)
00E3 黄色いバラ(枯れた) きいろいばら(かれた)
00E4 ピンクのバラ(枯れた) ぴんくのばら(かれた)
00E5 オレンジのバラ(枯れた) おれんじのばら(かれた)
00E6 紫のバラ(枯れた) むらさきのばら(かれた)
00E7 黒いバラ(枯れた) くろいばら(かれた)
00E8 青いバラ(枯れた) あおいばら(かれた)
00E9 金のバラ(枯れた) きんのばら(かれた)
00EA 赤いカーネーション(枯れた) あかいかーねーしょん(かれた)
00EB ピンクカーネーション(枯れた) ぴんくかーねーしょん(かれた)
00EC 白いカーネーション(枯れた) しろいかーねーしょん(かれた)
00ED 白いユリ(枯れた) しろいゆり(かれた)
00EE 黄色いユリ(枯れた) きいろいゆり(かれた)
00EF 赤いユリ(枯れた) あかいゆり(かれた)
00F0 オレンジのユリ(枯れた) おれんじのゆり(かれた)
00F1 ピンクのユリ(枯れた) ぴんくのゆり(かれた)
00F2 黒いユリ(枯れた) くろいゆり(かれた)
00F3 紫のスミレ(枯れた) むらさきのすみれ(かれた)
00F4 青いスミレ(枯れた) あおいすみれ(かれた)
00F5 白いスミレ(枯れた) しろいすみれ(かれた)
00F6 黄色いスミレ(枯れた) きいろいすみれ(かれた)
00F7 スズラン(枯れた) すずらん(かれた)
00F8 枯れたラフレシア かれたらふれしあ
00F9 黒い物体? くろいぶったい?
00FA 散らない赤バラ ちらないあかばら
00FB ヒイラギ? ひいらぎ?
00FC 散らない枯れたスズラン ちらないかれたすずらん
00FD 埋められない穴 うめられないあな
2000 Mii Mii
2001 リンゴ りんご
2002 オレンジ おれんじ
2003 ナシ なし
2004 桃 もも
2005 さくらんぼ さくらんぼ
2006 ヤシの実 やしのみ
2007 ドリアン どりあん
2008 レモン れもん
2009 ライチ らいち
200A マンゴー まんごー
200B 柿 かき
200C バナナ ばなな
200D 竹の子 たけのこ
200E おいしいリンゴ おいしいりんご
200F おいしいオレンジ おいしいおれんじ
2010 おいしいナシ おいしいなし
2011 おいしいモモ おいしいもも
2012 おいしいさくらんぼ おいしいさくらんぼ
2013 虫くいリンゴ むしくいりんご
2014 虫くいオレンジ むしくいおれんじ
2015 虫くいナシ むしくいなし
2016 虫くいモモ むしくいもも
2017 虫くいさくらんぼ むしくいさくらんぼ
2018 リンゴのやま りんごのやま
2019 オレンジのやま おれんじのやま
201A ナシのやま なしのやま
201B モモのやま もものやま
201C さくらんぼのやま さくらんぼのやま
201D ヤシのみのやま やしのみのやま
201E ドリアンのやま どりあんのやま
201F レモンのやま れもんのやま
2020 ライチのやま らいちのやま
2021 マンゴーのやま まんごーのやま
2022 柿のやま かきのやま
2023 バナナのやま ばななのやま
2024 たけのこのやま たけのこのやま
2025 おいしいリンゴのやま おいしいりんごのやま
2026 おいしいオレンジのやま おいしいおれんじのやま
2027 おいしいナシのやま おいしいなしのやま
2028 おいしいモモのやま おいしいもものやま
2029 おいしいさくらんぼのやま おいしいさくらんぼのやま
202A 化石 かせき
202B 肥料 ひりょう
202C 木の苗 きのなえ
202D 針葉樹の苗 しんようじゅのなえ
202E ヒイラギの苗 ひいらぎのなえ
202F ピンクのツツジの苗 ぴんくのつつじのなえ
2030 白いツツジの苗 しろいつつじのなえ
2031 青いアジサイの苗 あおいあじさいのなえ
2032 ピンクのアジサイの苗 ぴんくのあじさいのなええ
2033 赤いハイビスカスの苗 あかいはいびすかすのなえ
2034 黄色いハイビスカスの苗 きいろいはいびすかすのなええ
2035 キンモクセイの苗 きんもくせいのなえ
2036 プレゼント(毎回違う) ぷれぜんと(まいかいちがう)
2037 緑のリボン みどりのりぼん
2038 赤いチューリップの種 あかいちゅーりっぷのたね
2039 白いチューリップの種 しろいちゅーりっぷのたね
203A 黄色いチューリップの種 きいろいちゅーりっぷのたね
203B ピンクのチューリップの種 ぴんくのちゅーりっぷのたね
203C 紫チューリップの種 むらさきちゅーりっぷのたね
203D 黒いチューリップの種 くろいちゅーりっぷのたね
203E オレンジチューリップの種 おれんじちゅーりっぷのたね
203F 白いパンジーの種 しろいぱんじーのたね
2040 黄色いパンジーの種 きいろいぱんじーのたね
2041 赤いパンジーの種 あかいぱんじーのたね
2042 紫のパンジーの種 むらさきのぱんじーのたね
2043 赤黄色パンジーの種 あかきいろぱんじーのたね
2044 青いパンジーの種 あおいぱんじーのたね
2045 白いコスモスの種 しろいこすもすのたね
2046 赤いコスモスの種 あかいこすもすのたね
2047 黄色いコスモスの種 きいろいこすもすのたね
2048 ピンクのコスモスの種 ぴんくのこすもすのたね
2049 オレンジのコスモスの種 おれんじのこすもすのたね
204A 黒いコスモスの種 くろいこすもすのたね
204B 赤いバラの種 あかいばらのたね
204C 白いバラの種 しろいばらのたね
204D 黄色いバラの種 きいろいばらのたね
204E ピンクのバラの種 ぴんくのばらのたね
204F オレンジのバラの種 おれんじのばらのたね
2050 紫のバラの種 むらさきのばらのたね
2051 黒いバラの種 くろいばらのたね
2052 青いバラの種 あおいばらのたね
2053 金のバラの種 きんのばらのたね
2054 赤いカーネーションの種 あかいかーねーしょんのたね
2055 ピンクカーネーションの種 ぴんくかーねーしょんのたね
2056 白いカーネーションの種 しろいかーねーしょんのたね
2057 白いユリの種 しろいゆりのたね
2058 黄色いユリの種 きいろいゆりのたね
2059 赤いユリの種 あかいゆりのたね
205A オレンジのユリの種 おれんじのゆりのたね
205B ピンクのユリの種 ぴんくのゆりのたね
205C 黒いユリの種 くろいゆりのたね
205D 紫のスミレの種 むらさきのすみれのたね
205E 青いスミレの種 あおいすみれのたね
205F 白いスミレの種 しろいすみれのたね
2060 黄色いスミレの種 きいろいすみれのたね
2074 とたけけのDJテーブル とたけけのDJてーぶる
2075 博物館の台座 はくぶつかんのだいざ
2076 博物館の化石置場(M) はくぶつかんのかせきおきば(M)
2077 博物館の化石置場(L) はくぶつかんのかせきおきば(L)
2079 金網S かなあみS
207A 金網L かなあみL
207B 空気イス(全方向) くうきいす(ぜんほうこう)
207C 空気イス(3方向) くうきいす(3ほうこう)
207D 空気イス(1方向) くうきいす(1ほうこう)
207E 引っ越し段ボールS ひっこしだんぼーるS
207F 引っ越し段ボールM ひっこしだんぼーるM
2080 引っ越し段ボールL ひっこしだんぼーるL
2081 駅のロッカー えきのろっかー
2082 博物館のロッカー はくぶつかんのろっかー
2083 豆つぶの売り切れ札 まめつぶのうりきれふだ
2084 グレースの売り切れ札 ぐれーすのうりきれふだ
2085 リサイクルショップの売切れ札 りさいくるしょっぷのうりきれふだ
2086 豆つぶの売り切れ札(壁かけ) まめつぶのうりきれふだ(かべかけ)
2087 グレースの売り切れ札(壁かけ) ぐれーすのうりきれふだ(かべかけ)
2088 いなりギャラリーの売り切れ札 いなりぎゃらりーのうりきれふだ
2089 ラッピングペーパー らっぴんぐぺーぱー
208A お薬 おくすり
208B ハートのチョコレート はーとのちょこれーと
208C アコヤガイのかいがら あこやがいのかいがら
208D ホラガイのかいがら ほらがいのかいがら
208E シャコガイのかいがら しゃこがいのかいがら
208F サンゴ さんご
2090 ホネガイのかいがら ほねがいのかいがら
2091 ホタテガイのかいがら ほたてがいのかいがら
2092 エビスガイのかいがら えびすがいのかいがら
2093 タカラガイのかいがら たからがいのかいがら
2094 サンドダラー さんどだらー
2095 オイスターのかいがら おいすたーのかいがら
2096 アメ あめ
2097 ロリポップ ろりぽっぷ
2098 りっぱなキノコ りっぱなきのこ
2099 まるいキノコ まるいきのこ
209A ほそいキノコ ほそいきのこ
209B ひらたいキノコ ひらたいきのこ
209C めずらしいキノコ めずらしいきのこ
209D 有名なキノコ ゆうめいなきのこ
209E ハチの巣 はちのす
209F 落とし穴の種 おとしあなのたね
20A0 ズルい落とし穴の種 ずるいおとしあなのたね
20A1 金鉱石 きんこうせき
20A2 銀鉱石 ぎんこうせき
20A3 ルビー るびー
20A4 サファイア さふぁいあ
20A5 エメラルド えめらるど
20A6 アメジスト あめじすと
20A7 バター ばたー
20A8 ミルク みるく
20A9 ビネガー びねがー
20AA こむぎこ こむぎこ
20AB さとう さとう
20AC 100ベル 100べる
20AD 200ベル 200べる
20AE 300ベル 300べる
20AF 400ベル 400べる
20B0 500ベル 500べる
20B1 600ベル 600べる
20B2 700ベル 700べる
20B3 800ベル 800べる
20B4 900ベル 900べる
20B5 1000ベル 1000べる
20B6 2000ベル 2000べる
20B7 3000ベル 3000べる
20B8 4000ベル 4000べる
20B9 5000ベル 5000べる
20BA 6000ベル 6000べる
20BB 7000ベル 7000べる
20BC 8000ベル 8000べる
20BD 9000ベル 9000べる
20BE 10000ベル 10000べる
20BF 11000ベル 11000べる
20C0 12000ベル 12000べる
20C1 13000ベル 13000べる
20C2 14000ベル 14000べる
20C3 15000ベル 15000べる
20C4 16000ベル 16000べる
20C5 17000ベル 17000べる
20C6 18000ベル 18000べる
20C7 19000ベル 19000べる
20C8 20000ベル 20000べる
20C9 21000ベル 21000べる
20CA 22000ベル 22000べる
20CB 23000ベル 23000べる
20CC 24000ベル 24000べる
20CD 25000ベル 25000べる
20CE 26000ベル 26000べる
20CF 27000ベル 27000べる
20D0 28000ベル 28000べる
20D1 29000ベル 29000べる
20D2 30000ベル 30000べる
20D3 31000ベル 31000べる
20D4 32000ベル 32000べる
20D5 33000ベル 33000べる
20D6 34000ベル 34000べる
20D7 35000ベル 35000べる
20D8 36000ベル 36000べる
20D9 37000ベル 37000べる
20DA 38000ベル 38000べる
20DB 39000ベル 39000べる
20DC 40000ベル 40000べる
20DD 41000ベル 41000べる
20DE 42000ベル 42000べる
20DF 43000ベル 43000べる
20E0 44000ベル 44000べる
20E1 45000ベル 45000べる
20E2 46000ベル 46000べる
20E3 47000ベル 47000べる
20E4 48000ベル 48000べる
20E5 49000ベル 49000べる
20E6 50000ベル 50000べる
20E7 51000ベル 51000べる
20E8 52000ベル 52000べる
20E9 53000ベル 53000べる
20EA 54000ベル 54000べる
20EB 55000ベル 55000べる
20EC 56000ベル 56000べる
20ED 57000ベル 57000べる
20EE 58000ベル 58000べる
20EF 59000ベル 59000べる
20F0 60000ベル 60000べる
20F1 61000ベル 61000べる
20F2 62000ベル 62000べる
20F3 63000ベル 63000べる
20F4 64000ベル 64000べる
20F5 65000ベル 65000べる
20F6 66000ベル 66000べる
20F7 67000ベル 67000べる
20F8 68000ベル 68000べる
20F9 69000ベル 69000べる
20FA 70000ベル 70000べる
20FB 71000ベル 71000べる
20FC 72000ベル 72000べる
20FD 73000ベル 73000べる
20FE 74000ベル 74000べる
20FF 75000ベル 75000べる
2100 76000ベル 76000べる
2101 77000ベル 77000べる
2102 78000ベル 78000べる
2103 79000ベル 79000べる
2104 80000ベル 80000べる
2105 81000ベル 81000べる
2106 82000ベル 82000べる
2107 83000ベル 83000べる
2108 84000ベル 84000べる
2109 85000ベル 85000べる
210A 86000ベル 86000べる
210B 87000ベル 87000べる
210C 88000ベル 88000べる
210D 89000ベル 89000べる
210E 90000ベル 90000べる
210F 91000ベル 91000べる
2110 92000ベル 92000べる
2111 93000ベル 93000べる
2112 94000ベル 94000べる
2113 95000ベル 95000べる
2114 96000ベル 96000べる
2115 97000ベル 97000べる
2116 98000ベル 98000べる
2117 99000ベル 99000べる
2118 地面の卵 じめんのたまご
2119 木の卵 きのたまご
211A 岩の卵 いわのたまご
211B 空飛卵 そらとぶたまご
211C 当たりの券 あたりのけん
211D 大当たりの券 おおあたりのけん
211E きのこの森の壁(キノコ) きのこのもりのかべ(きのこ)
211F きのこの森の床(キノコ) きのこのもりのゆか(きのこ)
2120 きのこのベッド(キノコ) きのこのべっど(きのこ)
2121 きのこのタンス(キノコ) きのこのたんす(きのこ)
2122 きのこクローゼット(キノコ) きのこくろーぜっと(きのこ)
2123 マッシュルームチェア(キノコ) まっしゅるーむちぇあ(きのこ)
2124 猿のこしかけ(キノコ) さるのこしかけ(きのこ)
2125 きのこのテーブル(キノコ) きのこのてーぶる(きのこ)
2126 きのこサイドテーブル(キノコ) きのこさいどてーぶる(きのこ)
2127 きのこのランプ(キノコ) きのこのらんぷ(きのこ)
2128 きのこのウォールランプ(キノコ) きのこのうぉーるらんぷ(きのこ)
2129 きのこテレビ(キノコ) きのこてれび(きのこ)
212A きのこのハンガー(キノコ) きのこのはんがー(きのこ)
212B けけさんびか1 けけさんびか1
212C けけマーチ1 けけまーち1
212D けけワルツ1 けけわるつ1
212E けけスウィング1 けけすうぃんぐ1
212F けけジャズ1 けけじゃず1
2130 けけフュージョン1 けけふゅーじょん1
2131 けけのエチュード1 けけのえちゅーど1
2132 けけララバイ1 けけららばい1
2133 けけマリア1 けけまりあ1
2134 けけサンバ1 けけさんば1
2135 けけボッサ1 けけぼっさ1
2136 けけカリプソ1 けけかりぷそ1
2137 けけサルサ1 けけさるさ1
2138 けけマンボ1 けけまんぼ1
2139 けけレゲエ1 けけれげえ1
213A けけスカ1 けけすか1
213B けけタンゴ1 けけたんご1
213C ハイサイけけ1 はいさいけけ1
213D アロハけけ1 あろはけけ1
213E アイリッシュそんぐ1 あいりっしゅそんぐ1
213F ペルーのうた1 ぺるーのうた1
2140 コサックそんぐ1 こさっくそんぐ1
2141 けけチャイナ1 けけちゃいな1
2142 トルコそんぐ1 とるこそんぐ1
2143 けけアフロ1 けけあふろ1
2144 けけみんよう1 けけみんよう1
2145 けけロック1 けけろっく1
2146 けけのロケンロール1 けけのろけんろーる1
2147 ラグタイム1 らぐたいむ1
2148 ニューオリンズそんぐ1 にゅーおりんずそんぐ1
2149 けけファンク1 けけふぁんく1
214A けけブルース1 けけぶるーす1
214B けけゴスペル1 けけごすぺる1
214C けけソウル1 けけそうる1
214D アーバンけけ1 あーばんけけ1
214E けけラヴソング1 けけらヴそんぐ1
214F ドラムンベース1 どらむんべーす1
2150 テクノビート1 てくのびーと1
2151 ユーロビート1 ゆーろびーと1
2152 オンリーミー1 おんりーみー1
2153 けけカントリー1 けけかんとりー1
2154 エレキそんぐ1 えれきそんぐ1
2155 けけバラッド1 けけばらっど1
2156 しょうわけけかよう1 しょうわけけかよう1
2157 けけえんか1 けけえんか1
2158 ゆけ!けけライダー1 ゆけ!けけらいだー1
2159 こわいうた1 こわいうた1
215A けけウェスタン1 けけうぇすたん1
215B けけせんせい1 けけせんせい1
215C けけパリ1 けけぱり1
215D けけパレード1 けけぱれーど1
215E セニョールけけ1 せにょーるけけ1
215F けけソング1 けけそんぐ1
2160 だいすき1 だいすき1
2161 おととい1 おととい1
2162 ぼくのばしょ1 ぼくのばしょ1
2163 森のせいかつ1 もりのせいかつ1
2164 ナミナミ1 なみなみ1
2165 かんがえちゅう1 かんがえちゅう1
2166 けけディキシー1 けけでぃきしー1
2167 けけガムラン1 けけがむらん1
2168 けけだいみょう1 けけだいみょう1
2169 アルペンそんぐ1 あるぺんそんぐ1
216A ふなうた20011 ふなうた20011
216B ナポリタン1 なぽりたん1
216C にだんざか1 にだんざか1
216D けけビリー1 けけびりー1
216E けけけいじ1 けけけいじ1
216F けけおんど1 けけおんど1
2170 けけメタル1 けけめたる1
2171 ブルーおにぎり1 ぶるーおにぎり1
2172 はるのこもれび1 はるのこもれび1
2173 ほうろう1 ほうろう1
2174 けけハウス1 けけはうす1
2175 けけのソナタ1 けけのそなた1
2176 うたたねのゆめ1 うたたねのゆめ1
2177 おさんぽ1 おさんぽ1
2178 動物の島1 どうぶつのしま1
2179 ミニマル音楽1 みにまるおんがく1
217A けけハリウッド1 けけはりうっど1
217B けけマハラジャ1 けけまはらじゃ1
217C けけロマ1 けけろま1
217D けけのミロンガ1 けけのみろんが1
217E けけグルーヴ1 けけぐるーヴ1
217F けけじょんがら1 けけじょんがら1
2180 けけフラメンコ1 けけふらめんこ1
2181 けけボレロ1 けけぼれろ1
2182 けけアイドル1 けけあいどる1
2183 けけトロニカ1 けけとろにか1
2184 けけディスコ1 けけでぃすこ1
2185 君の誕生日1 きみのたんじょうび1
2186 おんぷ おんぷ
2189 けけさんびか2 けけさびか2
218A けけマーチ2 けけまーち2
218B けけワルツ2 けけわるつ2
218C けけスウィング2 けけすうぃんぐ2
218D けけジャズ2 けけじゃず2
218E けけフュージョン2 けけふゅーじょん2
218F けけのエチュード2 けけのえちゅーど2
2190 けけララバイ2 けけららばい2
2191 けけマリア2 けけまりあ2
2192 けけサンバ2 けけさんば2
2193 けけボッサ2 けけぼっさ2
2194 けけカリプソ2 けけかりぷそ2
2195 けけサルサ2 けけさるさ2
2196 けけマンボ2 けけまんぼ2
2197 けけレゲエ2 けけれげえ2
2198 けけスカ2 けけすか2
2199 けけタンゴ2 けけたんご2
219A ハイサイけけ2 はいさいけけ2
219B アロハけけ2 あろはけけ2
219C アイリッシュそんぐ2 あいりっしゅそんぐ2
219D ペルーのうた2 ぺるーのうた2
219E コサックそんぐ2 こさっくそんぐ2
219F けけチャイナ2 けけちゃいな2
21A0 トルコそんぐ2 とるこそんぐ2
21A1 けけアフロ2 けけあふろ2
21A2 けけみんよう2 けけみんよう2
21A3 けけロック2 けけろっく2
21A4 けけのロケンロール2 けけのろけんろーる2
21A5 ラグタイム2 らぐたいむ2
21A6 ニューオリンズそんぐ2 にゅーおりんずそんぐ2
21A7 けけファンク2 けけふぁんく2
21A8 けけブルース2 けけぶるーす2
21A9 けけゴスペル2 けけごすぺる2
21AA けけソウル2 けけそうる2
21AB アーバンけけ2 あーばんけけ2
21AC けけラヴソング2 けけらヴそんぐ2
21AD ドラムンベース2 どらむんべーす2
21AE テクノビート2 てくのびーと2
21AF ユーロビート2 ゆーろびーと2
21B0 オンリーミー2 おんりーみー2
21B1 けけカントリー2 けけかんとりー2
